#event 0
#theta, phi
1.42604621777 3.41669917147
#string, om, x, y, z, time, charge
30 5 500.429992676 -58.4500007629 433.769989014 12128.0 0.925000011921
39 6 411.809997559 13.0 416.630004883 11994.0 1.17499995232
40 1 544.070007324 55.8899993896 502.790008545 10853.0 4.17500001192
40 2 544.070007324 55.8899993896 485.760009766 10694.0 7.0
40 3 544.070007324 55.8899993896 468.739990234 10722.0 9.19999986887
40 4 544.070007324 55.8899993896 451.720001221 10506.0 24.0249999762
40 5 544.070007324 55.8899993896 434.700012207 10544.0 20.4000001103
40 6 544.070007324 55.8899993896 417.679992676 10587.0 16.6499998569
40 7 544.070007324 55.8899993896 400.660003662 10849.0 3.67500001192
40 8 544.070007324 55.8899993896 383.640014648 10984.0 1.02499997616
40 9 544.070007324 55.8899993896 366.619995117 10847.0 1.89999997616
40 14 544.070007324 55.8899993896 281.519989014 11520.0 1.17499995232
49 1 472.049987793 127.900001526 504.269989014 10911.0 5.27499994636
49 2 472.049987793 127.900001526 487.25 10949.0 3.55000007153
49 3 472.049987793 127.900001526 470.230010986 10704.0 15.2249999642
49 4 472.049987793 127.900001526 453.209991455 10709.0 16.3750000596
49 5 472.049987793 127.900001526 436.190002441 10609.0 8.79999995232
49 6 472.049987793 127.900001526 419.170013428 10645.0 5.59999994934
49 7 472.049987793 127.900001526 402.149993896 11331.0 0.675000011921
49 8 472.049987793 127.900001526 385.130004883 10782.0 2.57499998808
49 9 472.049987793 127.900001526 368.109985352 10798.0 1.72500002384
49 10 472.049987793 127.900001526 351.089996338 11401.0 1.17499995232
50 1 576.369995117 170.919998169 494.040008545 10129.0 386.47500062
50 2 576.369995117 170.919998169 477.019989014 10065.0 772.900000095
50 3 576.369995117 170.919998169 460.0 9990.0 1604.72499615
50 4 576.369995117 170.919998169 442.980010986 9949.0 2262.59999728
50 5 576.369995117 170.919998169 425.959991455 9893.0 1989.54999965
50 6 576.369995117 170.919998169 408.940002441 9947.0 1062.62499925
50 7 576.369995117 170.919998169 391.920013428 9975.0 608.450002164
50 8 576.369995117 170.919998169 374.899993896 10031.0 264.524999768
50 9 576.369995117 170.919998169 357.880004883 10119.0 52.0250000954
50 10 576.369995117 170.919998169 340.859985352 10239.0 38.6749998033
50 11 576.369995117 170.919998169 323.839996338 10465.0 11.8000000715
50 12 576.369995117 170.919998169 306.820007324 10402.0 4.37499991059
50 13 576.369995117 170.919998169 289.799987793 11627.0 2.6250000596
50 14 576.369995117 170.919998169 272.769989014 11079.0 3.1250000596
58 1 382.350006104 238.899993896 498.540008545 11681.0 1.02499997616
58 4 382.350006104 238.899993896 447.480010986 12514.0 0.425000011921
58 5 382.350006104 238.899993896 430.459991455 12353.0 1.07500004768
59 1 505.269989014 257.880004883 506.230010986 10675.0 6.15000009537
59 2 505.269989014 257.880004883 489.209991455 10461.0 28.3750001192
59 3 505.269989014 257.880004883 472.190002441 10424.0 59.675000295
59 4 505.269989014 257.880004883 455.170013428 10372.0 74.825000003
59 5 505.269989014 257.880004883 438.149993896 10338.0 100.175000161
59 6 505.269989014 257.880004883 421.130004883 10335.0 77.974999994
59 7 505.269989014 257.880004883 404.109985352 10444.0 23.6250001192
59 8 505.269989014 257.880004883 387.089996338 10449.0 11.2499997914
59 9 505.269989014 257.880004883 370.070007324 10515.0 6.5000000298
59 10 505.269989014 257.880004883 353.049987793 11296.0 0.774999976158
59 11 505.269989014 257.880004883 336.029998779 10567.0 1.17499995232
59 14 505.269989014 257.880004883 284.959991455 11203.0 0.799999982119
